"data.created_at";"data.id";"data.text";"data.public_metrics.retweet_count";"data.public_metrics.reply_count";"data.public_metrics.like_count";"data.public_metrics.quote_count";"meta.oldest_id";"meta.newest_id";"meta.result_count";"meta.next_token"
"22";"2022-01-15T18:50:33.000Z";1482424984962101248;"1469 Starlink satellites active
272 moving to operational orbits
Laser links activate soon";11596;11813;143544;1301;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"23";"2022-01-15T07:09:37.000Z";1482248590151983104;"<U+0001F51D>";17929;26500;194669;2693;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"24";"2022-01-14T06:18:50.000Z";1481873421390680064;"Tesla merch buyable with Dogecoin";52209;38359;330349;7562;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"25";"2022-01-13T18:52:07.000Z";1481700602761596928;"RT @SpaceX: Falcon 9’s first stage has landed on Landing Zone 1 https://t.co/XUQWHtB7kJ";8192;0;0;0;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"26";"2022-01-13T18:51:47.000Z";1481700521232769024;"RT @SpaceX: Falcon 9 launches 105 spacecraft to orbit and lands at Landing Zone 1 https://t.co/JapUxU6oMU";3528;0;0;0;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"27";"2022-01-12T04:10:25.000Z";1481116331680440320;"Bizarre anti-environment move by govt of California https://t.co/1OwdBNWbxT";9280;9653;69399;912;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"28";"2022-01-10T20:58:43.000Z";1480645301476151296;"RT @Tesla: Drive anywhere in the US using the Supercharger network, now in all 50 states https://t.co/SptUN4ipRK";6494;0;0;0;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"29";"2022-01-09T23:53:14.000Z";1480326831031173120;"Starship launch &amp; catch tower https://t.co/5mLIQwwu0k";15052;13506;127533;1545;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"30";"2022-01-09T08:25:44.000Z";1480093419334782976;"https://t.co/uiHoMrpifZ";29052;20476;288087;2800;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"31";"2022-01-07T23:28:12.000Z";1479595757388845056;"FSD price will rise as we get closer to FSD production code release";1539;2869;28833;139;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"32";"2022-01-07T23:26:23.000Z";1479595300360757248;"Just in the US";1454;2492;28718;99;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"33";"2022-01-07T23:09:17.000Z";1479590995595517952;"Tesla FSD price rising to $12k on Jan 17";6180;12577;76073;1426;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"34";"2022-01-06T23:39:59.000Z";1479236333516165120;"Starlinks with “lasers” deployed to orbit https://t.co/Y1eg9gl7sJ";11232;13155;138804;1215;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"35";"2022-01-06T21:43:02.000Z";1479206903834050560;"RT @SpaceX: Watch Falcon 9 launch 49 Starlink satellites to orbit <U+2192> https://t.co/bJFjLCzWdK  https://t.co/sCTZeApUNW";4032;0;0;0;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"36";"2022-01-06T06:51:11.000Z";1478982460981481472;"nice";22225;38566;283468;3212;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"37";"2022-01-04T17:33:23.000Z";1478419298032836608;"https://t.co/NH4S2wDizC";40475;27227;410661;2128;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"38";"2022-01-03T22:04:59.000Z";1478125263233990656;"Raptor 2 now operates routinely at 300 bar main chamber pressure";2434;2801;57538;195;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"39";"2022-01-02T22:56:00.000Z";1477775713172402176;"https://t.co/LA9hPzVlGx";51663;25560;471796;5308;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"40";"2022-01-02T18:19:33.000Z";1477706142461706240;"Let’s make the roaring 20’s happen!";27545;22724;321781;3920;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"41";"2022-01-02T17:56:50.000Z";1477700424933253120;"Great work by Tesla team worldwide! https://t.co/lsDTCJtMrp";4530;5550;66445;307;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"42";"2021-12-30T06:27:15.000Z";1476439722046238720;"https://t.co/OCUqr6xd9d";28608;19166;312064;3062;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"43";"2021-12-30T06:18:38.000Z";1476437555717541888;"https://t.co/mVhCpxVPZI";61326;16065;383636;7914;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"44";"2021-12-28T21:18:21.000Z";1475939200218370048;"Lex asks great questions https://t.co/TlyuEGoOVA";7933;10156;87657;606;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"45";"2021-12-27T03:51:33.000Z";1475313375597019136;"Physics formulas are the rendering rules";3000;3919;58297;216;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"46";"2021-12-27T03:49:50.000Z";1475312943420121088;"So much of AI is about compressing reality to a small vector space, like a video game in reverse";10329;11916;140522;981;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"47";"2021-12-26T12:28:15.000Z";1475081021423038464;"https://t.co/Scr3Ub3tgT";36510;17212;454091;2846;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
